Ahlamula"	Yawn
Ahlula"	Judge
Aka"	Build
Akani"	Build. Build together
Ala"	Refuse. Deny
Ambala"	Wear
Ambaleka"	Wearable 
Ambarile"	Wore
Ambexa"	Dress
Amukela"	Receive. Welcome. Appreciate. Accept
Amukelani"	Receive. Welcome. Appreciate. Accept
Amukelo"	Acceptance
Anakanya"	Think
Anama"	Broad. Wide
Anamile"	Broad. Wide
Anarhoko"	Petticoat
Andlala"	Lay. Lay a blanket on the ground or bed.
Andza"	Multiply
Andzani"	Multiply
Angarha"	Cover
Angula"	Answer. Respond
Angulo"	Response. An answer
Antswa"	Better
Antswisa"	Better. Make something better
Arile"	Denied
Ava"	Divide
Avanyisa"	Judge. Divide
Avile"	Divided
Avuxeni"	East. A greeting in the morning
Badama"	Lie down
Badi"	Bad luck
Baji"	Jacket
Baku"	Cave
Baleka"	Explode
Baleka"	Explode
Baleka"	Run
Balekile"	Exploded
Bamba"	Hump
Bamba"	Bounce
Bambetela"	Pat
Bana"	Beat
Banana"	Fight. People fighting
Bandala"	-
Bandhi"	Belt, Band.
Banga"	Sword
Bangala"	 African Cabbage
Barha"	Wheelbarrow
Barika"	Boat
Barisa"	Register
Basa"	Clean
Basa"	White
Basani"	Be Clean. Be White.
Basile"	Clean
Basisa"	Cleanse
Basuluka"	Pale
Bava"	Chilly. Sour
Bawuri"	Catfish
Bazela"	Bonus. Something extra
Belela"	Nail
Bendlele"	Bracelet
Biha"	Ugly. Bad
Bihisa"	Spoil. Impair
Bikiri"	Mug
Bindzu"	Business
Bindzula"	Profit
Bindzulo"	Profit. Gain
Biya"	Fence in
Biyela"	Fence in
Boboma"	Waterfall
Bodlha"	Belch
Bodo"	Hole. Pore
Bofu"	Blind person
Boha"	Mandatory. Compulsory
Boha"	Tie. Bind
Bohiwa"	Tied. Indicted. Be tied
Bokoloka"	Speak too much
Bola"	Rot
Boleni"	Rotting
Bomba"	Show off. To wear newer nice clothes
Bombisa"	Decorate
Bomu"	Lime
Borha"	Bore
Borha"	Drill
Borheka"	Bored
Borho"	Drill
Borile"	Rotten
Borisa"	Spoil
Borota"	Plate
Botere"	Butter
Boxa"	State
Boxa"	Pierce
Buba"	Struggle
Bubutsa"	Storm
Bukuta"	Beat
Bukuxa"	Swim
Bula"	Talk. Converse
Bulo"	Conversation
Bulomu"	Flower
Buluka"	Explode. Burst. Blast
Buma"	Boast
Burile"	Conversed. Talked
Buruku"	Trouser
Buwa"	Clod
Bvanyingeta"	Crush. Deform
Bvubvuka"	Swell
Bvubvukile"	Swollen
Bvutama"	Crouch quickly
Bvutamela"	Ambush
Byabya"	Bubble
Byabyeni"	Roof. A house with a grass roof
Byaka"	Break surface
Byako"	Dwelling
Byala"	Plant
Byalwa"	Beer
Byamela"	Incubate eggs
Byanyi"	Grass
Byatso"	Boat
Byatsweni"	Abroad
Byeke"	Abdomen
Byela"	Tell
Byetlelo"	Sleeping place
Byevula"	Skin shedding
Byewu"	Bark-fibre
Byi"	This
Byobyebyi"	These ones
Byona"	That.  For nouns starting with 'by'
Byongo"	Brain
Cabyatela"	Wade
Caca"	Chase. Scold
Cakunya"	Chew
Cambuta"	Flick lightly
Cawuka"	Anxious
Ceka"	Fabric
Cela"	Dig
Celeni"	Digging
Cema"	Groan. Cry. Scream
Cerile"	Dug
Chachamela"	Sizzle
Chacharha"	Bubble
Chapu"	Cut. Finish
Chaputa"	Finish up
Chava"	Fear
Chavela"	Take refuge
Chavelela"	Comfort
Chavisa"	Intimidate. Frighten.
Chaya"	Play a musical instrument
Chayela"	Drive
Chayisana"	Collide
Checha"	Slander
Chefu"	Poison
Chela"	Pour
Chela"	Frog
Chelela"	Poison
Chelele"	Bird Crop
Cheleni"	10 cents
Cheleta"	Irrigate
Cheyeza"	Bright
Chicha"	Unload
Chika"	Descend
Chikisa"	Unload
Chivirika"	Zealous
Chocha"	Walk audibly
Chochovela"	Walk. Walk through bushes
Chona"	Borrow money
Chucha"	Untie
Chukela"	Sugar
Chuluka"	Diarrhea
Chulula"	Pour out
Chululela"	Pour. Pour for. Pour into
Chupuka"	Slip away
Cikinya"	Swing
Cina"	Dance
Cinama"	Bare
Cinamisa"	Show bare teeth
Cinca"	Change
Cinceni"	Changing
Cineni"	Dancing
Cingela"	Glance. Stare.
Cinile"	Danced
Civa"	Withhold
Copa"	Shoot
Copeta"	Blink
Cukumeta"	Throw
Dakwa"	Drunk
Damarha"	Adhere
Damarhela"	Stick
Damurhuta"	Draw apart
Danisa"	Embarrass
Darata"	Fencing wire
Dari"	Fever
Debya"	Loose
Debyile"	Loose
Debyisa"	Slacken
Dedeleka"	Stagger
Delela"	Disrespect
Dewula"	Swing
Dewulana"	Bat
Deya"	Walk. Try to walk. Learn to walk
Dikida"	Tickle
Dikizela"	Lid
Dladla"	Camp
Dlawa"	Killed. Get killed
Dlaya"	Kill
Dlayetela"	Exterminate
Dliva"	Poke
