Eku sunguleni, Xikwembu xi tumbuluxile tilo ni misava.	In the beginning, God created the heavens and the earth.
Misava a yi nga ri na xivumbeko, naswona eka yona a ku nga ri na nchumu. Munyama a wu funengetile xidziva lexikulu, moya wa Xikwembu wona wu ri karhi wu hunga-hunga ehenhla ka mati.	The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters.
Kutani Xikwembu xi ku: A ku ve ni ku vonakala. Hiloko ku vonakala ku va kona.	And God said, Let there be light, and there was light.
Xikwembu xi vona leswaku ku vonakala ku sasekile, kutani xi hambanisa munyama ni ku vonakala.	And God saw that the light was good. And God separated the light from the darkness.
Kutani Xikwembu xi thya ku vonakala xi ku i Nhlekanhi, munyama wona xi ku i Vusiku. Kutani ku va madyambu, ku tlhela ku va mixo, ri va siku ro sungula.	God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day.
Kutani Xikwembu xi ku: Exikarhi ka mati a ku ve ni mpfhuka lowu nga ta ma hambanisa.	And God said, Let there be an expanse in the midst of the waters, and let it separate the waters from the waters.
Kutani Xikwembu xi endla mpfhuka exikarhi ka mati lama nga hansi ni lama nga henhla, xi ma hambanisa ha wona. Kutani swi va tano.	And God made the expanse and separated the waters that were under the expanse from the waters that were above the expanse. And it was so.
Hiloko Xikwembu xi thya mpfhuka lowu xi ku i Tilo. Kutani ku va madyambu, ku tlhela ku va mixo, ri va siku ra vumbirhi.	And God called the expanse Heaven. And there was evening and there was morning, the second day.
Kutani Xikwembu xi ku: Mati lama nga hansi ka tilo a ma hlengeletane endhawini yin'we, kutani ku humelela ndhawu leyi omeke. Hiloko swi va tano.	And God said, Let the waters under the heavens be gathered together into one place, and let the dry land appear. And it was so.
Xikwembu xi thya ndhawu leyi omeke xi ku i Misava, mati lama hlengeletaneke xi ku i Lwandle. Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile.	God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good.
Kutani Xikwembu xi ku: Misava a yi mirise swimila hi tinxaka-xaka ta swona, swi nga leswi tswalaka mbewu ntsena, ni mirhi yo tswala mihandzu leyi nga ni mbewu ya yona endzeni, hi ku hambana-hambana ka yona. Kutani swi va tano.	And God said, Let the earth sprout vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, on the earth. And it was so.
