Eku sunguleni	In the beginning
Xikwembu xi tumbuluxile tilo ni misava	God created the heavens and the earth
Kutani Xikwembu xi ku	And God said
A ku ve ni ku vonakala	Let there be light
Hiloko ku vonakala ku va kona	and there was light
Xikwembu xi vona leswaku ku vonakala ku sasekile	And God saw that the light was good
kutani xi hambanisa munyama ni ku vonakala	And God separated the light from the darkness
Kutani Xikwembu xi ku	And God said
Mati lama nga hansi ka tilo a ma hlengeletane endhawini yin'we	Let the waters under the heavens be gathered together into one place
kutani ku humelela ndhawu leyi omeke	and let the dry land appear
Hiloko swi va tano	And it was so
Xikwembu xi thya ndhawu leyi omeke xi ku i Misava	God called the dry land Earth
mati lama hlengeletaneke xi ku i Lwandle	and the waters that were gathered together he called Seas
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Misava yi mirisa swimila	The earth brought forth vegetation
swi nga leswi tswalaka mbewu ntsena hi tinxaka-xaka ta swona	plants yielding seed according to their own kinds
ni mirhi yo tswala mihandzu leyi nga ni mbewu ya yona endzeni	and trees bearing fruit in which is their seed
hi ku hambana-hambana ka yona	each according to its kind
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Kutani Xikwembu xi veka timboni etilweni leswaku ti ta voninga misava	And God set them in the expanse of the heavens to give light on the earth
ti va tona leti fumaka nhlekanhi ni vusiku	to rule over the day and over the night
ti hambanisa munyama ni ku vonakala	and to separate the light from the darkness
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Kutani Xikwembu xi ku	And God said
Ematini a ku ve ni swivumbiwa leswo tala leswi hanyaka	Let the waters swarm with swarms of living creatures
tinyanyana tona a ti hahe empfhukeni	and let birds fly above the earth across the expanse of the heavens
Xikwembu xi endla swiharhi ni swifuwo hi tinxaka-xaka ta swona	And God made the beasts of the earth according to their kinds and the livestock according to their kinds
xi endla ni swikokovi hinkwaswo hi ku hambana-hambana ka swona	and everything that creeps on the ground according to its kind
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
